user_id,time,upload_time,title,description,tag,longitute,latitute,url
11331418@N00,2012-12-03 00:17:40.0,1371101302,undefined,undefined, ,-117.152362,32.731484,http://farm6.staticflickr.com/5444/9031607424_dc50a1a520.jpg
30699184@N03,2012-12-03 12:47:32.0,1370014381,Flying+Fish+Cafe, ,"disneyboardwalk,disneywedding,flyingfishcafe",-81.556137,28.367235,http://farm8.staticflickr.com/7333/8902293529_b5623f7cfe.jpg
35034347371@N01,2012-12-03 16:24:43.0,1354590243,2012-12-03-2562, ,vancouver,-123.104817,49.269663,http://farm9.staticflickr.com/8489/8242500489_d78dcfab61.jpg
35034346886@N01,2012-12-03 20:48:26.0,1354596592,8%3A36pm+Too+tired+to+take+off+my+shoes, ,8%3A36pm,-122.414834,37.778,http://farm9.staticflickr.com/8206/8242721529_e5fdd0efa9.jpg
79755323@N00,2012-12-03 23:13:27.0,1354594407,Wizard+cat%27s+reign+of+terror+begins, ,"hudson,instagram+app,iphoneography,square,square+format",-73.943046,40.685424,http://farm9.staticflickr.com/8201/8242647039_7aa5e8ca72.jpg
47317382@N00,2012-12-03 13:07:20.0,1354714538,IMG_3524, ,"beach,mission+bay,san+diego",-117.252466,32.769883,http://farm9.staticflickr.com/8347/8247408932_4bbc3046f8.jpg
35034347371@N01,2012-12-03 16:37:50.0,1354590155,2012-12-03-2566, ,vancouver,-123.135864,49.262369,http://farm9.staticflickr.com/8479/8242497383_8ab9ceeda4.jpg
30918136@N00,2012-12-03 20:52:46.0,1354777114,20121203_1109, , ,-97.830167,30.177666,http://farm9.staticflickr.com/8061/8249481766_c60aca866c.jpg
53632001@N02,2012-12-03 17:32:02.0,1354735031,IMG_3245,Hamilton+JV-C+vs.+Desert+Vista%2C+12-3-12.++At+Hamilton+High+School%2C+Chandler%2C+AZ.++Hamilton+won+3-1.,"chandler%2C+az,chandler+hamilton+high+school,hamilton+boys+soccer,hamilton+high+school,hamilton+huskies,high+school+soccer,soccer",-111.843566,33.249275,http://farm9.staticflickr.com/8487/8248159484_e1c497b6f4.jpg
28197691@N00,2012-12-03 20:51:39.0,1354597935,The+entrance+to+heaven%3F+%23frenchlaundry,Posted+via+email+from+%3Ca+href%3D%22http%3A%2F%2Fp.waj3.net%2Fthe-entrance-to-heaven-frenchlaundry%22+rel%3D%22nofollow%22%3Ewajiii%27s+posterous%3C%2Fa%3E, ,-122.365,38.404333,http://farm9.staticflickr.com/8477/8242762547_4b2ba45bfc.jpg
28197691@N00,2012-12-03 21:12:10.0,1354598514,Amuse%3A+gruyere-filled+pastry+fresh+from+the+oven.+%3A%29+%23frenchlaundry,Posted+via+email+from+%3Ca+href%3D%22http%3A%2F%2Fp.waj3.net%2Famuse-gruyere-filled-pastry-fresh-from-the-ov%22+rel%3D%22nofollow%22%3Ewajiii%27s+posterous%3C%2Fa%3E, ,-122.365,38.404333,http://farm9.staticflickr.com/8199/8242780529_dc55afaf8a.jpg
8420521@N04,2012-12-03 11:48:07.0,1354556887,Contribute+Your+Creativity+to+a+Tee, ,ideabox,-87.796167,41.888833,http://farm9.staticflickr.com/8065/8241146715_2af295a2a0.jpg
24283575@N00,2012-12-03 22:48:17.0,1355318078, , , ,-79.368834,43.644666,http://farm9.staticflickr.com/8497/8266057195_50b479a576.jpg
83991392@N00,2012-12-03 10:36:59.0,1354566957, , , ,-97.841,30.146167,http://farm9.staticflickr.com/8344/8241586637_d8d3628bd8.jpg
37961843@N00,2012-12-03 11:49:55.0,1354556995,He+hasn%27t+caught+one+yet., ,"instagram+app,iphoneography,lo-fi,square,square+format",-80.032918,26.791095,http://farm9.staticflickr.com/8061/8242221316_65d78fdc29.jpg
36791303@N00,2012-12-03 12:53:09.0,1354565147,LEAN1768.JPG,%23LeanStartup+%23Ignite,"california,lean,san+francisco,startup,united+states",-122.404434,37.782218,http://farm9.staticflickr.com/8484/8241505743_2362be952b.jpg
